CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,,,,,,,,
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,,,,,,,,
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,,,,,,,,
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,,,,,,,,
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,,,,,,,,
0.06905,0,7.07,0,0.458,7.147,54.2, ,3,222,18.7,,,,,,,,
0.02985,0,****,0,0.458,6.43,58.7,6.0622,3,222,137,,,,,,,,
0.08829,12.5,7.07,0,0.524,6.012,66.6,5.5605,5,311,15.2,,,,,,,,
0.14455,12.5,****,0,0.524,6.172,96.1,5.9505,5,311,15.2,,,,,,,,
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,,,,,,,,
0.17004,12.5,****,0,0.524,6.004,85.9,6.5921,5,311,15.2,,,,,,,,
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,,,,,,,,
0.11747,12.5,,0,0.524,6.009,82.9,6.2267,5,311,15.2,,,,,,,,
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,,,,,,,,
0.62976,0,8.14,0,NA,5.949,61.8,4.7075,4,307,0.23,,,,,,,,
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,,,,,,,,
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,,,,,,,,
0.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,19,,,,,,,,
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,,,,,,,,
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,,,,,,,,
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,,,,,,,,
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,44,,,,,,,,
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,,,,,,,,
0.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,15.2,,,,,,,,
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,,,,,,,,
0.75026,0,,0,0.538,5.924,94.1,4.3996,4,307,21,,,,,,,,
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,,,,,,,,
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,,,,,,,,
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,,,,,,,,
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,,,,,,,,
0.10245,0,Sara,0,0.538,6.674,87.3,4.239,4,307,21,,,,,,,,
0.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,,,,,,,,
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,46,,,,,,,,
0.138799,0,8.14,0,0.538,5.95,82,3.99,4,307,19.2,,,,,,,,
0.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,,,,,,,,
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,47,,,,,,,,
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,,,,,,,,
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,,,,,,,,
0.08014,0,,0,0.499,5.85,41.5,3.9342,5,279,19.2,,,,,,,,
0.17505,0,,0,0.499,5.966,30.2,3.8473,5,279,19.2,,,,,,,,
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,,,,,,,,
0.03359,75,,0,0.428,7.024,15.8,5.4011,3,252,18.3,,,,,,,,
0.12744,0,2.95,0,0.448,6.77,2.9,5.7209,3,233,17.9,,,,,,,,
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,,,,,,,,
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,,,,,,,,
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,,,,,,,,
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,,,,,,,,
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,,,,,,,,
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,,,,,,,,
