CUSTOMER_ID,DATA_KNOWN,GENDER,AGE,TARIFF,DROPPED_CALLS,HANDSET,PEAK_MINS,PEAK_RATE,BILL_PEAK,OFFPEAK_MINS,OFFPEAK_RATE,BILL_OFFPEAK,GADGET_A,GADGET_B,GADGET_C,GADGET_D,GADGET_A_REVENUES,GADGET_B_REVENUES,GADGET_C_REVENUES,GADGET_D_REVENUES,HAS_CHURNED,RETENTION
K100010,yes,Male,46,CAT 50,1,SOP10,36,15,5,8,5,0,F,F,T,F,0,0,28,0,Yes,No
K100020,yes,Male,27,CAT 50,0,SOP10,39,15,6,21,5,1,T,F,F,F,11,0,0,0,Yes,No
K100030,yes,Male,39,CAT 50,2,SOP20,73,15,11,28,5,1,T,T,F,T,8,23,0,35,Yes,No
K100040,yes,Male,28,CAT 50,2,SOP10,73,15,11,28,5,1,T,T,F,T,13,18,0,41,Yes,No
K100050,yes,Male,47,CAT 50,0,SOP10,41,15,6,19,5,1,F,F,F,F,0,0,0,0,Yes,No
K100060,yes,Male,29,CAT 50,1,SOP10,46,15,7,11,5,1,F,F,F,F,0,0,0,0,Yes,No
K100070,yes,Male,38,CAT 50,1,SOP20,56,15,8,4,5,0,F,F,T,F,0,0,32,0,Yes,No
K100080,yes,Male,27,CAT 50,0,SOP20,51,15,8,35,5,2,F,F,F,F,0,0,0,0,Yes,No
K100090,yes,Male,38,CAT 50,1,SOP20,99,15,15,53,5,3,F,F,F,F,0,0,0,0,Yes,No
K100100,yes,Male,48,CAT 50,0,SOP20,65,15,10,29,5,1,T,T,F,T,7,23,0,41,Yes,No
K100110,yes,Male,34,CAT 50,2,SOP20,65,15,10,29,5,1,F,F,F,T,0,0,0,39,Yes,No
K100120,yes,Male,32,CAT 50,0,SOP20,68,15,10,34,5,2,F,F,F,F,0,0,0,0,Yes,No
K100130,yes,Male,45,CAT 50,2,SOP20,63,15,10,27,5,1,F,T,T,F,0,24,31,0,Yes,No
K100140,yes,Male,29,CAT 50,1,SOP20,41,15,6,16,5,1,F,F,F,F,0,0,0,0,Yes,No
K100150,yes,Male,30,CAT 50,2,SOP20,96,15,14,35,5,2,F,T,T,T,0,23,27,37,Yes,No
K100160,yes,Male,28,CAT 50,9,SOP20,41,15,6,24,5,1,F,F,F,F,0,0,0,0,Yes,No
K100170,yes,Male,26,CAT 50,1,SOP10,100,15,15,31,5,2,F,F,F,F,0,0,0,0,Yes,No
K100180,yes,Male,37,CAT 50,1,SOP10,42,15,6,22,5,1,F,F,F,F,0,0,0,0,Yes,No
